title,rating,year,genre,director
Hacksaw Ridge,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
Dead Poets Society,8.1,,"C|o|m|e|d|y|,| |D|r|a|m|a",
Gone Girl,8.1,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
Salinui chueok,8.1,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
In the Name of the Father,8.1,,"B|i|o|g|r|a|p|h|y|,| |C|r|i|m|e|,| |D|r|a|m|a",
The Gold Rush,8.1,,"A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y|,| |D|r|a|m|a",
Maharaja,8.5,,"A|c|t|i|o|n|,| |C|r|i|m|e|,| |D|r|a|m|a",
"Monsters, Inc.",8.1,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
Relatos salvajes,8.1,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Ratatouille,8.1,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
How to Train Your Dragon,8.1,,"A|n|i|m|a|t|i|o|n|,| |A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
The Deer Hunter,8.1,,"D|r|a|m|a|,| |W|a|r",
Jaws,8.1,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Sherlock Jr.,8.2,,"A|c|t|i|o|n|,| |C|o|m|e|d|y|,| |R|o|m|a|n|c|e",
The General,8.1,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
Mary and Max.,8.1,,"A|n|i|m|a|t|i|o|n|,| |C|o|m|e|d|y|,| |D|r|a|m|a",
On the Waterfront,8.1,,"C|r|i|m|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Le salaire de la peur,8.1,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
